iteracion,valor_coste
0,49709103.0
1,49709103.0
2,46423983.0
3,46423983.0
4,42186063.0
5,42186063.0
6,40304487.0
7,40304487.0
8,40304487.0
9,40304487.0
10,40304487.0
11,40304487.0
12,40304487.0
13,40304487.0
14,40304487.0
15,40304487.0
16,40304487.0
17,40304487.0
18,40304487.0
19,40304487.0
20,40304487.0
21,40304487.0
22,40304487.0
23,40304487.0
24,40304487.0
25,40304487.0
26,40304487.0
27,40304487.0
28,40304487.0
29,40304487.0
30,40304487.0
31,40304487.0
32,40304487.0
33,40304487.0
34,40304487.0
35,40304487.0
36,40304487.0
37,40304487.0
38,40304487.0
39,40304487.0
40,40304487.0
41,40304487.0
42,40304487.0
43,40304487.0
44,40304487.0
45,40304487.0
46,40304487.0
47,40304487.0
48,40304487.0
49,40304487.0
50,40304487.0
51,40304487.0
52,40304487.0
53,40304487.0
54,40304487.0
55,40304487.0
56,40304487.0
57,40304487.0
58,40304487.0
59,40304487.0
60,40304487.0
61,40304487.0
62,40304487.0
63,40304487.0
64,40304487.0
65,40304487.0
66,40304487.0
67,40304487.0
68,40304487.0
69,40304487.0
70,40304487.0
71,40304487.0
72,40304487.0
73,40304487.0
74,40304487.0
75,40304487.0
76,40304487.0
77,40304487.0
78,40304487.0
79,40304487.0
80,40304487.0
81,40304487.0
82,40304487.0
83,40304487.0
84,40304487.0
85,40304487.0
86,40304487.0
87,40304487.0
88,40304487.0
89,40304487.0
90,40304487.0
91,40304487.0
92,40304487.0
93,40304487.0
94,40304487.0
95,40304487.0
96,40304487.0
97,40304487.0
98,40304487.0
99,40304487.0
100,40304487.0
101,40304487.0
102,40304487.0
103,40304487.0
104,40304487.0
105,40304487.0
106,40304487.0
107,40304487.0
108,40304487.0
109,40304487.0
110,40304487.0
111,40304487.0
112,40304487.0
113,40304487.0
114,40304487.0
115,40304487.0
116,40304487.0
117,40304487.0
118,40304487.0
119,40304487.0
120,40304487.0
121,40304487.0
122,40304487.0
123,40304487.0
124,40304487.0
125,40304487.0
126,40304487.0
127,40304487.0
128,40304487.0
129,40304487.0
130,40304487.0
131,40304487.0
132,40304487.0
133,40304487.0
134,40304487.0
135,40304487.0
136,40289378.0
137,40289378.0
138,40289378.0
139,40289378.0
140,40265343.0
141,40265343.0
142,40265343.0
143,40265343.0
144,40265343.0
145,40265343.0
146,40265343.0
147,40265343.0
148,40265343.0
149,40265343.0
150,40265343.0
151,40251362.0
152,40251362.0
153,40251362.0
154,40251362.0
155,40251362.0
156,40251362.0
157,40251362.0
158,40251362.0
159,40251362.0
160,40251362.0
161,40251362.0
162,40251362.0
163,40251362.0
164,40251362.0
165,40251362.0
166,40251362.0
167,40251362.0
168,40251362.0
169,40251362.0
170,40251362.0
