iteracion,valor_coste
0,35216929950786.01
1,4862975778.003911
2,4862975778.003911
3,4862975778.003911
4,762064551.0031575
5,762064551.0031575
6,762064551.0031575
7,762064551.0031575
8,83841678.00508003
9,83841678.00508003
10,83841678.00508003
11,83841678.00508003
12,83841678.00508003
13,83841678.00508003
14,83841678.00508003
15,83841678.00508003
16,83841678.00508003
17,83841678.00508003
18,83841678.00508003
19,74066351.00409089
20,74066351.00409089
21,74066351.00409089
22,74066351.00409089
23,74066351.00409089
24,74066351.00409089
25,74066351.00409089
26,74066351.00409089
27,74066351.00409089
28,74066351.00409089
29,74066351.00409089
30,74066351.00367229
31,46305087.006443344
32,46305087.006443344
33,46305087.006443344
34,46305087.006443344
35,46305087.006443344
36,46305087.006443344
37,46305087.006443344
38,46305087.006443344
39,46305087.006443344
40,46305087.006443344
41,46305087.00581669
42,46305087.00517482
43,46305087.00517482
44,46305087.00517482
45,46305087.00517482
46,46305087.00517482
47,46305087.0051374
48,46305087.0051374
49,46305087.0051374
50,46305087.005131654
51,46305087.005121864
52,46305087.00511715
53,46305087.00511483
54,46305087.00511369
55,46305087.00511312
56,46305087.005112834
57,40734383.004980385
58,40734383.004980385
59,40734383.004980385
60,40734383.004980385
61,40734383.004980385
62,40734383.004980385
63,40734383.004980385
64,40734383.004980385
65,40734383.004980385
66,40734383.004980385
67,40734383.004980385
68,40734383.00496156
69,40734383.00496156
70,40734383.00496156
71,40734383.00496156
72,40734383.00496156
73,40734383.00496156
74,40734383.00496156
75,40734383.004943565
76,40734383.004943565
77,40734383.00491978
78,40734383.00490532
79,40734383.00489805
80,40734383.0048944
81,40734383.004892565
82,40734383.0045716
83,40734383.0045716
84,40734383.0045716
85,40734383.0045716
86,40734383.0045716
87,40734383.0045716
88,40734383.0045716
89,40734383.00453824
90,40734383.00453824
91,40734383.00453824
92,40734383.004496574
93,40734383.00446064
94,40734383.00439587
95,40734383.00439587
96,40734383.00439587
97,40734383.00439587
98,40734383.004361734
99,40734383.004361734
100,40734383.00434858
101,40734383.004347354
102,40734383.004333615
103,40734383.004333615
104,40734383.004333615
105,40734383.00433129
106,40734383.00432516
107,40734383.004316874
108,40734383.00431275
109,40734383.00430483
110,40734383.004270285
111,40734383.00424838
112,40734383.00407477
113,40734383.00395998
114,40734383.00385561
115,40734383.0037749
116,40734383.003714375
117,40734383.00367543
118,40734383.003624186
119,40734383.00359906
120,40734383.003585584
121,40734383.003585584
122,40734383.003585584
123,40734383.003585584
124,40734383.003585584
125,40734383.00358517
126,40734383.003580056
127,40734383.00357205
128,40734383.00356538
129,40734383.003553055
130,40734383.00355162
131,40734383.003542975
132,40734383.00342461
133,40734383.00336852
134,40734383.0033413
135,40734383.0033279
136,40734383.003275335
137,40734383.00325589
138,40734383.00319263
139,40734383.00308874
140,40734383.00307532
141,40734383.002989545
142,40734383.002940886
143,40734383.002940886
144,40734383.002940886
145,40734383.002940886
146,40734383.0029298
147,40734383.002875865
148,40734383.00285392
149,40734383.002825014
150,40734383.00281059
151,40734383.00281059
152,40734383.0027982
153,40734383.0027847
154,40734383.0027847
155,40734383.0027847
156,40734383.00278035
157,40734383.00278035
158,40734383.00276104
159,40734383.002717465
160,40734383.00268924
161,40734383.00264182
162,40734383.002627134
163,40734383.00260404
164,40734383.00250132
165,40734383.00250132
166,40734383.002490394
167,40734383.002452895
168,40734383.00235948
169,40734383.00235948
170,40734383.00235885
171,40734383.00234394
172,40734383.0022592
173,40734383.00223263
174,40734383.00216557
175,40734383.002102606
176,40734383.00202663
177,40734383.001967035
178,40734383.001923956
179,40734383.00187095
180,40734383.00187095
181,40734383.00185269
182,40734383.00184046
183,40734383.00184046
184,40734383.001797706
185,40734383.00178198
186,40734383.00175243
187,40734383.001738794
188,40734383.00173227
189,40734383.001718365
190,40734383.00170901
191,40734383.00170901
192,40734383.00169665
193,40734383.00168845
194,40734383.001682185
195,40734383.00168085
196,40734383.00167284
197,40734383.00166945
198,40734383.00166185
199,40734383.00165394
200,40734383.00163713
201,40734383.00163366
202,40734383.00162533
203,40734383.00161593
204,40734383.00160994
205,40734383.00159216
206,40734383.00157961
207,40734383.00156364
208,40734383.001555696
209,40734383.00154152
210,40734383.00153771
211,40734383.00153468
212,40734383.00153116
213,40734383.0015285
214,40734383.00152638
215,40734383.00152133
216,40734383.00151451
217,40734383.00150769
218,40734383.00150646
219,40734383.00150186
220,40734383.00150186
221,40734383.00150026
222,40734383.001500234
223,40734383.0014971
224,40734383.001493104
225,40734383.00148752
226,40734383.00148243
227,40734383.00147463
228,40734383.001469
229,40734383.001466215
230,40734383.00146396
231,40734383.001462534
232,40734383.00146153
233,40734383.00146048
234,40734383.00145781
235,40734383.001455836
236,40734383.00145369
237,40734383.00145192
238,40734383.00145062
239,40734383.001450025
240,40734383.00144916
241,40734383.001448184
242,40734383.00144782
243,40734383.001445994
244,40734383.00143993
245,40734383.00142886
246,40734383.00141607
247,40734383.00140751
248,40734383.00138966
249,40734383.001374856
250,40734383.001355365
251,40734383.00133841
252,40734383.00132894
253,40734383.00132631
254,40734383.00132631
255,40734383.00132631
256,40734383.00132631
257,40734383.00132574
258,40734383.00132574
259,40734383.00132574
260,40734383.00132574
261,40734383.001321964
262,40734383.001321964
263,40734383.001321964
264,40734383.001321964
265,40734383.001321584
266,40734383.001321584
267,40734383.001321316
268,40734383.001321286
269,40734383.001321286
270,40734383.001321286
271,40734383.001321286
272,40734383.001320876
273,40734383.00132012
274,40734383.00132012
275,40734383.00131954
276,40734383.001318395
277,40734383.001318395
278,40734383.001318395
279,40734383.001318395
280,40734383.001318395
281,40734383.00131809
282,40734383.001317956
283,40734383.00131766
284,40734383.00131766
285,40734383.00131608
286,40734383.001313865
287,40734383.00130379
288,40734383.001301266
289,40734383.00130006
290,40734383.00130006
291,40734383.00129474
292,40734383.00128374
293,40734383.00128374
294,40734383.00128374
295,40734383.00128374
296,40734383.00128374
297,40734383.001272835
298,40734383.001272835
299,40734383.001272835
300,40734383.00126711
301,40734383.001258366
302,40734383.00124987
303,40734383.00124987
304,40734383.00124987
305,40734383.00124987
306,40734383.00124987
307,40734383.00124987
308,40734383.00124987
309,40734383.00124987
310,40734383.00124976
311,40734383.00124942
312,40734383.001246646
313,40734383.001246646
314,40734383.0012462
315,40734383.00123829
316,40734383.001234144
317,40734383.001229316
318,40734383.001217395
319,40734383.0012108
320,40734383.00119976
321,40734383.00119881
322,40734383.00119279
323,40734383.001176424
324,40734383.00116646
325,40734383.00116646
326,40734383.00115781
327,40734383.00115781
328,40734383.00114745
329,40734383.00114745
330,40734383.00114338
331,40734383.00113676
332,40734383.00113676
333,40734383.00113676
334,40734383.00113676
335,40734383.00113676
336,40734383.00112645
337,40734383.0011234
338,40734383.00111301
339,40734383.00111301
340,40734383.00111301
341,40734383.00111301
342,40734383.00111263
343,40734383.001111425
344,40734383.00110768
345,40734383.0011052
346,40734383.00110238
347,40734383.00109965
348,40734383.00109671
349,40734383.001093425
350,40734383.00109202
351,40734383.00108793
352,40734383.00108235
353,40734383.001081474
354,40734383.00107304
355,40734383.00106558
356,40734383.00106173
357,40734383.001059435
358,40734383.001057856
359,40734383.00105742
360,40734383.00105742
361,40734383.001053445
362,40734383.00104715
363,40734383.001042105
364,40734383.00103543
365,40734383.00102954
366,40734383.00102324
367,40734383.00102248
368,40734383.00102223
369,40734383.001016766
370,40734383.00101581
371,40734383.001015335
372,40734383.00101426
373,40734383.00100765
374,40734383.001002386
375,40734383.00098853
376,40734383.00098265
377,40734383.00098265
378,40734383.00098265
379,40734383.000981085
380,40734383.00097526
381,40734383.00096671
382,40734383.00095464
383,40734383.00094857
384,40734383.00094305
385,40734383.00093937
386,40734383.0009332
387,40734383.00092646
388,40734383.00091867
389,40734383.00091867
390,40734383.00091867
391,40734383.00091565
392,40734383.00090999
393,40734383.00090273
394,40734383.000897475
395,40734383.000897475
396,40734383.00089254
397,40734383.00089234
398,40734383.00088875
399,40734383.00088601
400,40734383.00088601
401,40734383.00088472
402,40734383.00088472
403,40734383.00088303
404,40734383.000879906
405,40734383.00087814
406,40734383.000875846
407,40734383.00087472
408,40734383.000870384
409,40734383.00086651
410,40734383.00086004
411,40734383.00085729
412,40734383.0008548
413,40734383.000851594
414,40734383.00084815
415,40734383.00084709
416,40734383.00084354
417,40734383.00083911
418,40734383.00083689
419,40734383.000835486
420,40734383.000832655
421,40734383.000829086
422,40734383.000825495
423,40734383.000819646
424,40734383.000819646
425,40734383.000819646
426,40734383.00081929
427,40734383.00081793
428,40734383.000813864
429,40734383.00081126
430,40734383.00081126
431,40734383.00081126
432,40734383.00081123
433,40734383.00080959
434,40734383.000809036
435,40734383.00080785
436,40734383.00080763
437,40734383.000805445
438,40734383.000805445
439,40734383.000805445
440,40734383.000805445
441,40734383.00080525
442,40734383.00080449
443,40734383.00080449
444,40734383.00080434
445,40734383.00080434
446,40734383.00080423
447,40734383.00080417
448,40734383.000803836
449,40734383.000803836
450,40734383.00080376
451,40734383.00080357
452,40734383.0008031
453,40734383.00080283
454,40734383.00080239
455,40734383.00080204
456,40734383.00080204
457,40734383.000801966
458,40734383.0008016
459,40734383.0008016
460,40734383.00080134
461,40734383.00080117
462,40734383.00080086
463,40734383.00080066
464,40734383.00080041
465,40734383.00080029
466,40734383.00080015
467,40734383.00079989
468,40734383.00079981
469,40734383.00079981
470,40734383.00079973
471,40734383.00079965
472,40734383.00079944
473,40734383.00079924
474,40734383.00079901
475,40734383.00079898
476,40734383.00079887
477,40734383.000798635
478,40734383.00079831
479,40734383.00079823
480,40734383.000798054
481,40734383.00079794
482,40734383.000797756
483,40734383.000797756
484,40734383.00079748
485,40734383.00079726
486,40734383.00079715
487,40734383.00079702
488,40734383.00079702
489,40734383.00079694
490,40734383.00079694
491,40734383.00079677
492,40734383.00079677
493,40734383.0007967
494,40734383.00079666
495,40734383.00079655
496,40734383.00079655
497,40734383.00079655
498,40734383.00079655
499,40734383.000796534
500,40734383.00079646
501,40734383.00079636
502,40734383.00079626
503,40734383.000795946
504,40734383.00079578
505,40734383.00079564
506,40734383.000795625
507,40734383.00079553
508,40734383.000795506
509,40734383.000795424
510,40734383.00079534
511,40734383.00079509
512,40734383.00079492
513,40734383.00079492
514,40734383.00079492
515,40734383.00079492
516,40734383.00079492
517,40734383.00079489
518,40734383.00079482
519,40734383.00079479
520,40734383.00079476
521,40734383.0007947
522,40734383.00079462
523,40734383.000794485
524,40734383.00079433
525,40734383.00079433
526,40734383.0007943
527,40734383.00079429
528,40734383.00079421
529,40734383.00079421
530,40734383.00079421
531,40734383.00079419
532,40734383.00079419
533,40734383.00079419
534,40734383.00079419
535,40734383.00079417
536,40734383.00079417
537,40734383.000794165
538,40734383.000794165
539,40734383.00079416
540,40734383.00079416
541,40734383.00079416
542,40734383.00079416
543,40734383.00079416
544,40734383.00079416
545,40734383.00079416
546,40734383.00079415
547,40734383.00079412
548,40734383.0007941
549,40734383.0007941
550,40734383.000794075
551,40734383.000794075
552,40734383.000794075
553,40734383.000794075
554,40734383.00079407
555,40734383.00079405
556,40734383.000794046
557,40734383.00079401
558,40734383.00079398
559,40644887.00139218
560,40644887.00139218
561,40644887.00139218
562,40644887.00139218
563,40644887.00139218
564,40644887.00139218
565,40644887.00139218
566,40644887.00139218
567,40644887.00139218
568,40644887.00139218
569,40644887.00139218
570,40644887.00139218
571,40644887.00139218
572,40644887.00139218
573,40644887.00139218
574,40644887.00139218
575,40644887.00138768
576,40644887.00138336
577,40644887.00138336
578,40644887.00138336
579,40644887.00138336
580,40644887.0013824
581,40644887.00138134
582,40644887.00138081
583,40644887.00138055
584,40644887.001380414
585,40644887.001376405
586,40644887.001376405
587,40644887.00137321
588,40644887.00137321
589,40644887.00137321
590,40644887.001370914
591,40644887.00136919
592,40644887.001368344
593,40644887.0013678
594,40644887.00136624
595,40644887.001365416
596,40644887.001364745
597,40644887.001363926
598,40644887.001363516
599,40644887.00136293
600,40644887.00136239
601,40644887.00136212
602,40644887.001361944
603,40644887.00136173
604,40644887.0013616
605,40644887.001361534
606,40644887.00136149
607,40644887.00136144
608,40644887.00136141
609,40644887.00136137
610,40644887.001361325
